run,round,n_labeled,perm_seed,lambda,signal,z
2,2,200,20260829,1.0,obs,0.1970361282904423
2,2,200,20260829,1.0,pm,0.1963241487681095
2,2,200,20260829,1.0,cons,0.34018560472424814
2,2,200,20260829,1.0,loc,0.05
2,2,200,20260829,1.0,cons_full,0.3809076724890633
2,2,200,20260830,0.0,obs,0.5254676639775233
2,2,200,20260830,0.0,pm,0.5541664044532528
2,2,200,20260830,0.0,cons,0.42541845573236087
2,2,200,20260830,0.0,loc,0.16450000000000004
2,2,200,20260830,0.0,cons_full,0.4247763974251374
2,2,200,20260830,0.5,obs,0.4338869083370594
2,2,200,20260830,0.5,pm,0.4591203088927093
2,2,200,20260830,0.5,cons,0.46026198855374617
2,2,200,20260830,0.5,loc,0.115
2,2,200,20260830,0.5,cons_full,0.48657164465559405
2,2,200,20260830,1.0,obs,0.19518125238507456
2,2,200,20260830,1.0,pm,0.20862876437583203
2,2,200,20260830,1.0,cons,0.35575984604933975
2,2,200,20260830,1.0,loc,0.0365
2,2,200,20260830,1.0,cons_full,0.38149618633728666
2,3,300,20260826,0.0,obs,0.5456266481085522
2,3,300,20260826,0.0,pm,0.5944880209899375
2,3,300,20260826,0.0,cons,0.4536416765579587
2,3,300,20260826,0.0,loc,0.114
2,3,300,20260826,0.0,cons_full,0.4247763974251374
2,3,300,20260826,0.5,obs,0.48309200049243806
2,3,300,20260826,0.5,pm,0.5365458001508792
2,3,300,20260826,0.5,cons,0.4878454151357829
2,3,300,20260826,0.5,loc,0.09666666666666666
2,3,300,20260826,0.5,cons_full,0.4876488217304923
2,3,300,20260826,1.0,obs,0.2273747310913079
2,3,300,20260826,1.0,pm,0.2678842993049905
2,3,300,20260826,1.0,cons,0.3594303417035237
2,3,300,20260826,1.0,loc,0.015333333333333336
2,3,300,20260826,1.0,cons_full,0.37825947758197226
2,3,300,20260827,0.0,obs,0.5456266481085522
