run,seed,round,n_labeled,pearson_delta,frac_opposite_direction_top20_non_dropout,mse_non_dropout,mse_top20_de_non_dropout,pearson_delta_top20_de_non_dropout,mse_4_non_dropout,mse_4_top20_de_non_dropout,method,source
1,1,4,500,0.2872189243457834,0.3307291666666667,0.0084637738764286,0.0859116241335868,0.3786952154112897,0.0015369319436795,0.0519660408026538,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2899131691533385,0.3200520833333333,0.0084376381710171,0.0823770835995674,0.382245050020654,0.0014342432407744,0.0480126835322759,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
2,1,0,100,0.1182205912185467,0.4572916666666667,0.010330494493246,0.1156916841864585,0.1630094498464983,0.0023445688777574,0.0862034199046017,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run2_Core-Set_diff_effect_metrics.csv
2,1,1,200,0.2345580409852189,0.4028645833333333,0.0097851688042283,0.0991979464888572,0.2850649570147245,0.0021781608704186,0.0744385187950683,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run2_Core-Set_diff_effect_metrics.csv
2,1,2,300,0.2728290089575014,0.3843749999999999,0.0093329036608338,0.0940148308873176,0.3434452877093292,0.0019595205724641,0.0689372118193205,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run2_Core-Set_diff_effect_metrics.csv
2,1,3,400,0.2887951394945305,0.3559895833333333,0.0086199827492237,0.0865218043327331,0.3638573915183927,0.00170301651667,0.0594128833192371,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run2_Core-Set_diff_effect_metrics.csv
2,1,4,500,0.2785443791949549,0.33203125,0.0088272057473659,0.090548038482666,0.3746093868389162,0.0017593425127658,0.0614585754322433,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run2_Core-Set_diff_effect_metrics.csv
2,1,5,600,0.2729950895969618,0.3325520833333333,0.0085244895890355,0.0861745700240135,0.3388615330519064,0.0015389103822381,0.0527247527074299,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run2_Core-Set_diff_effect_metrics.csv
3,1,0,100,0.1112261482841917,0.4583333333333333,0.0107687814161181,0.1172509863972663,0.136133568558886,0.0024200995966772,0.0849393445756808,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run3_Core-Set_diff_effect_metrics.csv
3,1,1,200,0.2415682215484374,0.3869791666666667,0.0092420727014541,0.1026855185627937,0.3011882166268116,0.0020519744064464,0.0742107861680021,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run3_Core-Set_diff_effect_metrics.csv
3,1,2,300,0.2648225125094689,0.3960937499999999,0.0096613336354494,0.0855053439736366,0.3364146216695298,0.0016377041187952,0.0522639285329811,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run3_Core-Set_diff_effect_metrics.csv
3,1,3,400,0.2408929377424763,0.33828125,0.0088849021121859,0.0907416939735412,0.3351914372328941,0.0016359917539011,0.0548198821745548,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run3_Core-Set_diff_effect_metrics.csv
3,1,4,500,0.2888464343961941,0.3531249999999999,0.0084519609808921,0.0824102833867073,0.3503770811219676,0.0013817185709679,0.0459016062356567,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run3_Core-Set_diff_effect_metrics.csv
3,1,5,600,0.2741442070542317,0.33125,0.008319673128426,0.083196111023426,0.3551163914729356,0.0014113862483209,0.0473942486538968,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run3_Core-Set_diff_effect_metrics.csv
4,1,0,100,0.1153532593356217,0.43046875,0.0105994939804077,0.114246517419815,0.1523731780976975,0.0023738264027585,0.0836971957272301,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run4_Core-Set_diff_effect_metrics.csv
4,1,1,200,0.2219875440103054,0.39140625,0.0086906272917985,0.0959636569023132,0.2829047264051637,0.0016441902735047,0.0599257484383694,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run4_Core-Set_diff_effect_metrics.csv
4,1,2,300,0.2613159668212361,0.3567708333333333,0.0084714172407984,0.0894331708550453,0.3186558140247384,0.001437519777571,0.0509537267810325,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run4_Core-Set_diff_effect_metrics.csv
4,1,3,400,0.2565230054383374,0.3583333333333333,0.008478857576847,0.0889103412628173,0.3118987930924551,0.0015109180081296,0.0517137387124118,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run4_Core-Set_diff_effect_metrics.csv
4,1,4,500,0.2688004906408797,0.3294270833333333,0.0086212987080216,0.0839312672615051,0.3566998604301752,0.0015205267372136,0.0502466990912429,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run4_Core-Set_diff_effect_metrics.csv
4,1,5,600,0.2929668633847098,0.3380208333333334,0.0081379190087318,0.0851998552680015,0.3707850981447941,0.0013855619040041,0.0496133873720282,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run4_Core-Set_diff_effect_metrics.csv
5,1,0,100,0.1316221748183957,0.44609375,0.0108332326635718,0.1168086156249046,0.1832738886999742,0.0024165124968664,0.0851526859761482,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run5_Core-Set_diff_effect_metrics.csv
5,1,1,200,0.2567847826886847,0.3908854166666667,0.0095391822978854,0.093379445374012,0.2955358536146469,0.0020112580057611,0.0675143700991308,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run5_Core-Set_diff_effect_metrics.csv
5,1,2,300,0.255225967164355,0.3653645833333334,0.0091477939859032,0.0944346785545349,0.3112046043009381,0.0020214736854347,0.0719980836289929,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run5_Core-Set_diff_effect_metrics.csv
5,1,3,400,0.2590156133112009,0.33203125,0.0085745276883244,0.0855366885662078,0.3477030076868331,0.0015043693783154,0.0509545835376836,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run5_Core-Set_diff_effect_metrics.csv
5,1,4,500,0.2615232873676855,0.3432291666666667,0.0084882173687219,0.084857165813446,0.3201606872507689,0.0014944836599558,0.0501701538440102,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run5_Core-Set_diff_effect_metrics.csv
5,1,5,600,0.269581797858173,0.34453125,0.008345391601324,0.0834348797798156,0.3398382355914085,0.0014583417052684,0.0498129416855893,fixed_0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run5_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.0992565128082128,0.4320312499999999,0.0109325544908642,0.1167593598365783,0.1679719742871634,0.0025581464923016,0.0889808400660058,early_prior,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_sched_early_prior_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.2477749761577906,0.3841145833333333,0.0092974323779344,0.0928338095545768,0.3396064400750481,0.0016531932250557,0.057661287464604,early_prior,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_sched_early_prior_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2865431100096274,0.3752604166666667,0.0089417481794953,0.0893619358539581,0.3681771473439914,0.0015908125603843,0.0549846629368706,early_prior,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_sched_early_prior_run1_Core-Set_diff_effect_metrics.csv
