split,budget,policy,objective,value,cost
2,55,probe(dev-fitted),frac_ge_0.5,0.47540983606557374,13420.0
2,55,probe(dev-fitted),frac_ge_0.7,0.319672131147541,13420.0
2,55,est_norm,mean_r,0.42667282415557745,13420.0
2,55,est_norm,frac_ge_0.5,0.4016393442622951,13420.0
2,55,est_norm,frac_ge_0.7,0.3442622950819672,13420.0
2,55,half_split_r,mean_r,0.42666790152033485,13420.0
2,55,half_split_r,frac_ge_0.5,0.4098360655737705,13420.0
2,55,half_split_r,frac_ge_0.7,0.3360655737704918,13420.0
2,55,noise_ratio,mean_r,0.4092142721261165,13420.0
2,55,noise_ratio,frac_ge_0.5,0.39344262295081966,13420.0
2,55,noise_ratio,frac_ge_0.7,0.21721311475409835,13420.0
2,55,prior_typiclust,mean_r,0.43132732963412773,13420.0
2,55,prior_typiclust,frac_ge_0.5,0.430327868852459,13420.0
2,55,prior_typiclust,frac_ge_0.7,0.3073770491803279,13420.0
2,55,random,mean_r,0.42244355415936835,13420.0
2,55,random,frac_ge_0.5,0.4180327868852459,13420.0
2,55,random,frac_ge_0.7,0.29098360655737704,13420.0
2,55,oracle_mean_r,mean_r,0.4508670890974797,13420.0
2,55,oracle_mean_r,frac_ge_0.5,0.5163934426229508,13420.0
2,55,oracle_mean_r,frac_ge_0.7,0.30327868852459017,13420.0
2,55,oracle_frac_ge_0.5,mean_r,0.4335818399911838,13420.0
2,55,oracle_frac_ge_0.5,frac_ge_0.5,0.5245901639344263,13420.0
2,55,oracle_frac_ge_0.5,frac_ge_0.7,0.26639344262295084,13420.0
2,55,oracle_frac_ge_0.7,mean_r,0.42532712136410544,13420.0
2,55,oracle_frac_ge_0.7,frac_ge_0.5,0.4139344262295082,13420.0
2,55,oracle_frac_ge_0.7,frac_ge_0.7,0.3483606557377049,13420.0
2,70,uniform,mean_r,0.4643242182159991,17080.0
2,70,uniform,frac_ge_0.5,0.4918032786885246,17080.0
2,70,uniform,frac_ge_0.7,0.32786885245901637,17080.0
2,70,probe(dev-fitted),mean_r,0.45686390364760165,17080.0
2,70,probe(dev-fitted),frac_ge_0.5,0.4918032786885246,17080.0
