split,budget,policy,downstream_pearson,cost
8,90,oracle_frac_ge_0.5,0.2517390050344921,21960.0
8,90,oracle_frac_ge_0.7,0.25139776026206867,21960.0
9,40,uniform,0.230352297930909,9760.0
9,40,probe(dev-fitted),0.22472533574990686,9760.0
9,40,est_norm,0.2284399926951749,9760.0
9,40,half_split_r,0.22904345791387956,9760.0
9,40,noise_ratio,0.2252255121918887,9760.0
9,40,prior_typiclust,0.23022450356468846,9760.0
9,40,random,0.22728802801035106,9760.0
9,40,oracle_mean_r,0.22742299292667034,9760.0
9,40,oracle_frac_ge_0.5,0.22771340478491894,9760.0
9,40,oracle_frac_ge_0.7,0.22645307500231085,9760.0
9,55,uniform,0.23335903601322575,13420.0
9,55,probe(dev-fitted),0.2270525462193855,13420.0
9,55,est_norm,0.231177103763835,13420.0
9,55,half_split_r,0.2307302671379352,13420.0
9,55,noise_ratio,0.22709806571202468,13420.0
9,55,prior_typiclust,0.23524369133821565,13420.0
9,55,random,0.23079850166674595,13420.0
9,55,oracle_mean_r,0.23006099231726712,13420.0
9,55,oracle_frac_ge_0.5,0.22909148739528887,13420.0
9,55,oracle_frac_ge_0.7,0.22833676954016213,13420.0
9,70,uniform,0.23530731080121065,17080.0
9,70,probe(dev-fitted),0.23081819796598246,17080.0
9,70,est_norm,0.23316391228368688,17080.0
9,70,half_split_r,0.2342915921493154,17080.0
9,70,noise_ratio,0.23056173230996801,17080.0
9,70,prior_typiclust,0.23570748637401934,17080.0
9,70,random,0.2320835672655833,17080.0
9,70,oracle_mean_r,0.23247998719195428,17080.0
9,70,oracle_frac_ge_0.5,0.2324547273915632,17080.0
9,70,oracle_frac_ge_0.7,0.2311637613273495,17080.0
9,90,uniform,0.2366248995318095,21960.0
9,90,probe(dev-fitted),0.2350104504501747,21960.0
9,90,est_norm,0.23627430046222378,21960.0
9,90,half_split_r,0.23659317860666554,21960.0
9,90,noise_ratio,0.2329578127482243,21960.0
9,90,prior_typiclust,0.237181976542508,21960.0
9,90,random,0.23504494977477536,21960.0
9,90,oracle_mean_r,0.2372317854099554,21960.0
9,90,oracle_frac_ge_0.5,0.2359681561323401,21960.0
9,90,oracle_frac_ge_0.7,0.23532300150027863,21960.0
